Ottawa,P1,P2,P3
,Boyd,,
,,,
12:00 AM,Bach ,Serdachny,Jenner
,Clark,Hughes,McMahon
,Meixner,Darkangelo,Vanisova
,Snodgrass,Vasko,Leslie
,,Mrazova,
,Roese,Larocque,
,Savolainen,Bell,
,Tejralova,Boyd,
,,,
12:00 AM,Clark,Mrazova,Jenner
,Bach,Serdachny,Darkangelo
,Vanisova,Hughes,McMahon
,Meixner,Vasko,Leslie
,Roese,Larocque,
,Savolainen,Bell,
,Tejralova,Boyd,
,Markowski,,
,,,
12:00 AM,Clark,Mrazova,Jenner
,Bach,Serdachny,Darkangelo
,Vanisova,Hughes,McMahon
,Meixner,Vasko,Leslie
,Roese,Larocque,
,Savolainen,Bell,
,Tejralova,Boyd,
,Markowski,,
,,,
12:00 AM,Jenner,Mrazova,Serdachny
,Clark,Hughes,McMahon
,Vanisova,Darkangelo,Leslie
,Meixner,Vasko,Bach
,Roese,Larocque,
,Savolainen,Bell,
,Markowski,Tejralova,
,,,
12:00 AM,Bach,Serdachny,Jenner
,Clark,Hughes,McMahon
,Vanisova,Darkangelo,Leslie
,Meixner,Vasko,Snodgrass
,,House,
,Roese,Larocque,
,Savolainen,Markowski,
,Tejralova,Boyd,
,,,
12:00 AM,Clark,Hughes,McMahon
,Vanisova,Darkangelo,Leslie
,Bach,Serdachny,Jenner
,Meixner,Vasko,Snodgrass
,,House,
,Roese,Larocque,
,Savolainen,Markowski,
,Tejralova,Boyd,
,,,
12:00 AM,Clark,Hughes,McMahon
,Vanisova,Darkangelo,Leslie
,Meixner,Serdachny,Jenner
,Bach,Vasko,Snodgrass
,,House,
,Roese,Larocque,
,Savolainen,Markowski,
,Tejralova,Boyd,
,,,
12:00 AM,Clark,Hughes,McMahon
,Vanisova,Darkangelo,Jenner
,Meixner,Serdachny,House
,Bach,Vasko,Snodgrass
,Roese,Larocque,
,Savolainen,Markowski,
,Tejralova,Boyd,
,,Bell,
,,,
12:00 AM,Clark,Hughes,McMahon
,Vanisova,Darkangelo,Jenner
,Meixner,Serdachny,House
,Bach,Vasko,Snodgrass
,Larocque,Bell,
,Roese,Tejralova,
,Savolainen,Markowski,
,,Boyd,
,,,
12:00 AM,Clark,Hughes,McMahon
,Vanisova,Darkangelo,Jenner
,Meixner,Serdachny,House
,Bach,Vasko,Snodgrass
,Larocque,Bell,
,Roese,Tejralova,
,Savolainen,Boyd,
,,,
12:00 AM,Clark,Hughes,McMahon
,Vanisova,Darkangelo,Jenner
,Meixner,Serdachny,Leslie
,Bach,Vasko,Snodgrass
,,House,
,Larocque,Bell,
,Roese,Tejralova,
,Savolainen,Markowski,
,,,
12:00 AM,Clark,Hughes,McMahon
,Vanisova,Darkangelo,Jenner
,Meixner,Serdachny,Leslie
,Bach,Vasko,Snodgrass
,Larocque,Bell,
,Roese,Tejralova,
,Savolainen,Markowski,
,,Boyd,
12:00 AM,Clark,Hughes,McMahon
,Vanisova,Darkangelo,Jenner
,Meixner,Serdachny,Leslie
,Bach,Vasko,House
,Larocque,Bell,
,Roese,Tejralova,
,Savolainen,Markowski,
,,Boyd,
,,,
12:00 AM,Clark,Hughes,McMahon
,Vanisova,Darkangelo,Jenner
,Meixner,Serdachny,Leslie
,Bach,Vasko,House
,Larocque,Bell,
,Savolainen,Boyd,
,Roese,Tejralova,
,,Markowski,
,,,
12:00 AM,Clark,Hughes,McMahon
,Vanisova,Darkangelo,Jenner
,Meixner,Serdachny,Leslie
,Bach,Vasko,House
,Larocque,Bell,
,Savolainen,Boyd,
,Roese,Tejralova,
,,Markowski,
,,,
12:00 AM,Clark,Hughes,McMahon
,Vanisova,Darkangelo,Jenner
,Meixner,Mrazova,Serdachny
,Bach,Vasko,Leslie
,Larocque,Bell,
,Savolainen,Markowski,
,Roese,Tejralova,
,,Isbell,
,,,
12:00 AM,Clark,Hughes,McMahon
,Vanisova,Darkangelo,Jenner
,Meixner,Mrazova,Serdachny
,Bach,Vasko,Leslie
,Larocque,Bell,
,Savolainen,Boyd,
,Roese,Tejralova,
,Markowski,,
,,,
12:00 AM,Clark,Hughes,McMahon
,Vanisova,Darkangelo,Jenner
,Meixner,Mrazova,Serdachny
,Bach,Vasko,Leslie
,Larocque,Bell,
,Savolainen,Boyd,
,Roese,Tejralova,
,Markowski,,
